T,Tbar,mu,mubar,sw_start_x,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x
40,29,0.025,0.034482758620689655,0.8174019166969543,26.93203372806513,0.5673250903923577,150.70611501406933,0.5673414474139492,0.648110438376933,-1.8102669307841555e-07,5.529031386004087e-09,3.507724666285128e-11
40,28,0.025,0.03571428571428571,0.8127780883385696,26.818425492038447,0.5617070529279091,151.20956107356218,0.5597145006169364,0.632234834699155,-1.1673210642010068e-07,-6.871955550298571e-07,5.179884299266746e-13
40,27,0.025,0.037037037037037035,0.8078967831302003,26.614778838282994,0.5570260558983706,151.22076992968252,0.5567519241133525,0.615839838298181,-5.0879911642552296e-08,-9.626249593800284e-08,-5.196537644636123e-12
40,26,0.025,0.038461538461538464,0.8027355994825766,26.439198220539,0.5517214260576764,151.43025839547744,0.5517214264044981,0.598928007262439,-5.858783317455991e-14,4.225238846599904e-14,4.472269776734095e-12
40,25,0.025,0.04,0.7972611803073872,26.27333508243647,0.5460229442020794,151.73542140996716,0.5456232365473896,0.581471379884352,-2.0229327786744938e-07,-1.4627370673278334e-07,1.5008272402639022e-12
40,24,0.025,0.041666666666666664,0.7914562792942033,26.12009187394165,0.5398608372741992,152.1647756395191,0.5381528530304585,0.563452926100728,-2.407266064664204e-07,-6.394827754166405e-07,-4.954786581023995e-13
40,23,0.025,0.043478260869565216,0.7852889696381051,25.91867025790542,0.5340130054859613,152.34076959783292,0.5329777679632137,0.544837047119173,-1.441059966967212e-08,-3.96458060721032e-07,1.0073081257999661e-11
40,22,0.025,0.045454545454545456,0.7787048105647622,25.72568979309917,0.5277237249355416,152.61267853433958,0.5266791267228244,0.525614283141272,-1.7306254309583895e-07,-4.098328972392513e-07,7.67025332137905e-14
40,21,0.025,0.047619047619047616,0.7716784089168125,25.50483339558717,0.5214290085699061,152.75363338393706,0.5214290087822947,0.505757294767244,-1.6875020075014313e-13,-1.7257739629564548e-14,-3.923791846993652e-12
40,20,0.025,0.05,0.7641457660938005,25.29814579893871,0.5145607477031401,153.0390865203293,0.5145607495099682,0.485248972936811,8.930749968895238e-13,6.385429018487158e-13,4.0525222066989386e-13
40,19,0.025,0.05263157894736842,0.7560558207781696,25.08333415682162,0.5073609175630195,153.33302167285106,0.5073609179121029,0.464067096704284,2.9656412416957656e-13,3.467813354254353e-14,-7.952805081146153e-13
40,18,0.025,0.05555555555555555,0.7473322233855142,24.861585091844713,0.499806655000851,153.63466900663664,0.4998066562056716,0.442193274093611,1.85797476579333e-13,4.076844517779224e-13,1.9999939204762285e-12
40,17,0.025,0.058823529411764705,0.73789469974245,24.636566159711897,0.4917993414645553,153.97835887543658,0.49154570447168894,0.419611657281655,-6.120741440776541e-08,-1.1468926426287917e-07,1.0797751581748116e-11
40,16,0.025,0.0625,0.7276510248456358,24.398498489290013,0.4834032258246943,154.30086830213185,0.4831216900277244,0.396309788679760,-1.6107129108994788e-07,-1.3170034076263957e-07,-1.1600581606430183e-11
