T,Tbar,mu,mubar,sw_start_x,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x
40,40,0.025,0.025,0.8561264993352107,28.424095291771568,0.6146385485811819,148.29868926056758,0.6146385486685789,0.787462254931741,-6.431459309685764e-13,-2.564424486853651e-14,-8.813713647803922e-13
40,39,0.025,0.02564102564102564,0.853340433705368,28.30671421806062,0.6109950944047482,148.49081762871052,0.6109950947733765,0.776101371330801,2.133514435304388e-13,5.494313463620051e-14,5.130570968070458e-11
40,38,0.025,0.02631578947368421,0.8504404472281852,28.185658365060952,0.6072520129189084,148.68604289395654,0.6072520129686739,0.764419286496213,-1.06787083939652e-13,-3.9119905115077993e-14,-8.631248493706778e-12
40,37,0.025,0.02702702702702703,0.847414686801601,28.062639886361804,0.6034145799567238,148.88502647825334,0.6034145797830832,0.752403023295456,-1.7419425704972484e-13,-1.0724954019311197e-13,1.2015458072944796e-11
40,36,0.025,0.027777777777777776,0.8442575436615916,27.936346254996838,0.5994711692061774,149.08705741555596,0.5994711693310697,0.740039336192673,3.614629161442654e-14,-1.9361850651576275e-14,-2.6030566591117577e-13
40,35,0.025,0.02857142857142857,0.8409598039395936,27.82999287557478,0.5951082146329496,149.42040605326213,0.5941962460953155,0.727315668584812,-5.5296010706484404e-08,-2.8021783247874363e-07,-1.6514067890938122e-11
40,34,0.025,0.029411764705882353,0.8375103164758191,27.6848421356422,0.5910820724247662,149.56922346119694,0.5906070345393623,0.714212583016951,-1.5399133563583665e-07,-1.4808424230451737e-07,1.609448685435666e-11
40,33,0.025,0.030303030303030304,0.8339011398179956,27.594952008810523,0.586170263260387,150.04137706270618,0.58380309098688,0.700729742036456,-2.0411188475734256e-07,-7.50566958929909e-07,1.346089906206771e-12
40,32,0.025,0.03125,0.8301174589546355,27.431904842633465,0.5820237779722884,150.14410188356524,0.5804997851542759,0.686821160659436,-2.5916362134243997e-07,-4.905807836820422e-07,-7.50054601761363e-11
40,31,0.025,0.03225806451612903,0.8261487109772672,27.261507145966682,0.5777821551983183,150.22776468203062,0.5772681084036047,0.672489969803080,-2.462567007613632e-07,-1.6808105170983405e-07,1.3811288918086362e-11
40,30,0.025,0.03333333333333333,0.8219787744911232,27.12978261845256,0.5728371824687968,150.5572989615455,0.5715676778951634,0.657723237768510,-2.2369655902838279e-07,-4.225110455187593e-07,-3.3759384177045604e-12
40,29,0.025,0.034482758620689655,0.8175912329128958,26.99023896991393,0.5677792034846275,150.87405910124917,0.5658694214174717,0.642496722462383,-1.8230771872240155e-07,-6.473157840647796e-07,-7.129435930508521e-13
40,28,0.025,0.03571428571428571,0.8129676929443496,26.79010926136139,0.5632832920826407,150.87179511779343,0.5631502691624621,0.626779081782983,-1.0576098189738792e-07,-4.586679438915096e-08,1.3146192467949902e-11
40,27,0.025,0.037037037037037035,0.8080898688731836,26.622986389588895,0.5581064206078419,151.09662159308007,0.5581064211385042,0.610568897589629,9.487289629578864e-13,1.0795948976426191e-13,1.2763790024905575e-11
40,26,0.025,0.038461538461538464,0.802925831116579,26.45497755489543,0.552706134532114,151.34367425027867,0.5527061348295027,0.593838581555771,1.4916567759755855e-13,2.4830930537431096e-14,2.1849605458257315e-12
40,25,0.025,0.04,0.7974518136853473,26.28151551889354,0.5470978263501683,151.59847396619358,0.5470894855932531,0.576567373806772,-2.0399610625925925e-07,-3.0547025632864664e-09,-1.8560153414171054e-13
40,24,0.025,0.041666666666666664,0.7916471194340375,26.099950861206583,0.541298109395175,151.84593035713468,0.5413802389787719,0.558733768905142,-2.3053767536168363e-07,3.0744244019743027e-08,5.62580537710744e-12
40,23,0.025,0.043478260869565216,0.7854798671708578,25.932921293069604,0.5349904484047341,152.23390094964637,0.5341515782922657,0.540317305695960,-1.526729407532731e-08,-3.2150572127237627e-07,-1.3323231407014191e-12
40,22,0.025,0.045454545454545456,0.7788958516544444,25.771897868486807,0.5282746858645672,152.70846203038735,0.5258876983116599,0.521302960140380,-1.7618079565285234e-07,-9.380022105586914e-07,-2.691499800810959e-12
40,21,0.025,0.047619047619047616,0.771868931543232,25.524787264247887,0.5223106914380142,152.67529907237972,0.522310691159821,0.501640804735049,-2.4027853181578696e-12,-2.1441212140874216e-13,-2.0248247523113605e-12
40,20,0.025,0.05,0.7643358395228262,25.31897139304011,0.5154198696097045,152.96227380096707,0.5154198686752658,0.481340436924948,1.84546174288112e-13,-4.940135370797376e-13,-7.985834216128751e-13
40,19,0.025,0.05263157894736842,0.7562453090032959,25.105025662941042,0.5081966407329642,153.25785835837314,0.5081966426384484,0.460370911355298,6.395954390571966e-13,6.970319422725133e-13,5.279575387984181e-12
40,18,0.025,0.05555555555555555,0.7475208041545061,24.884172177641265,0.5006182410963456,153.5611563807784,0.5006182413172725,0.438713714574952,-2.602862485278929e-13,-2.2840494371861716e-14,-8.055257849637343e-13
40,17,0.025,0.058823529411764705,0.7380821463426517,24.65565910298019,0.4926429393123727,153.87349804728302,0.49263784041358605,0.416352679041196,-5.1392964986572034e-08,-2.3068823204462662e-09,2.7480240305521875e-12
40,16,0.025,0.0625,0.727836776542866,24.435869078646935,0.48400029380551735,154.32908539267115,0.482979307768689,0.393277198088255,-1.6235121161857595e-07,-4.779601912913002e-07,-1.3728601588880451e-12
40,15,0.025,0.06666666666666667,0.7166720297272636,24.172304390727756,0.47530906629553615,154.52809596846936,0.4752717123477419,0.369474514367839,-1.0309909994571285e-07,-1.8127426219572166e-08,5.409839243242232e-13
40,14,0.025,0.07142857142857142,0.7044476782718866,23.915937516369404,0.4658528553544185,154.86237294967896,0.4658528548657003,0.344949908047322,-1.1070795566088878e-12,-3.9844476254660645e-13,1.919853165333052e-13
40,13,0.025,0.07692307692307693,0.6909740869577671,23.646360789219507,0.4558523508918949,155.152962511297,0.4562651450250449,0.319711568114964,-1.250972538647702e-07,2.1720820826186482e-07,-1.2406742300186124e-14
40,12,0.025,0.08333333333333333,0.6760614345906698,23.381306011395818,0.4449717138507195,155.56671005051712,0.44497171427236987,0.293781695732484,5.635466492602288e-13,5.844688369702243e-14,2.131897436363772e-11
