T,Tbar,mu,mubar,sw_start_x,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x
40,40,0.025,0.025,0.852133273111388,28.389350722217703,0.587593419453971,150.56653636552912,0.5875934196225164,0.955810903668475,-4.5539529763331224e-14,-5.325837891596065e-15,-9.34266553009877e-13
40,39,0.025,0.02564102564102564,0.849333395250329,28.253237986264764,0.5842883270117876,150.72781947408598,0.5842883271779975,0.941300238298408,-4.28210658223033e-14,-6.917362874613284e-15,-2.6845314859968994e-10
40,38,0.025,0.02631578947368421,0.8464170217164027,28.11473088472266,0.5808980677918311,150.8918881623148,0.5808980679727612,0.926397096882428,4.3056312282744235e-14,-3.737931571323276e-15,-3.862080794059253e-11
40,37,0.025,0.02702702702702703,0.8433789791649888,27.972598673472415,0.5774114582832117,151.05895791948674,0.577411435621927,0.911085987424516,-4.0197843451710773e-13,-6.5913581916781e-12,-6.357812193380497e-11
40,36,0.025,0.027777777777777776,0.8402090388688852,27.82760736425718,0.5738289840074078,151.23017959480572,0.5738289544109813,0.895351917733027,-2.278883734466202e-12,-8.722383198973988e-12,-3.5463904035637484e-10
40,35,0.025,0.02857142857142857,0.8369008933784531,27.678442389080875,0.5701383317036026,151.40385432311646,0.5701383321324446,0.879178366863923,-1.4682679425986845e-13,6.674760378353959e-14,3.3430203050244245e-13
40,34,0.025,0.029411764705882353,0.8334401428510266,27.526854263847746,0.5663451236518013,151.58103754691342,0.5663451250166075,0.862548319571025,-2.0679706718707816e-11,3.4947702333769184e-13,-2.504295382177446e-12
40,33,0.025,0.030303030303030304,0.8298178896314196,27.371801991627358,0.5624378634876961,151.76219003301202,0.5624378637229308,0.845444138676487,1.070236235547056e-13,7.197999826101297e-15,-4.516664819931293e-13
40,32,0.025,0.03125,0.8260215998335118,27.21161350971893,0.5584180030522895,151.9420211859213,0.5584571798752543,0.827847416417767,-9.749288406235257e-08,1.2239444769834368e-08,-1.2957690476156358e-13
40,31,0.025,0.03225806451612903,0.8220394588621092,27.049627977132815,0.5542346040823773,152.1394087664696,0.5542106017151234,0.809739191245082,-1.9706651791012904e-07,-7.633005640446605e-09,-9.267323020090146e-12
40,30,0.025,0.03333333333333333,0.8178573272117238,26.929824063836563,0.5492577844951252,152.60096717239105,0.5470887970973921,0.791110484158149,-2.855301078624965e-07,-7.039854884324461e-07,1.1812079092621275e-12
40,29,0.025,0.034482758620689655,0.8134603899320633,26.7193756724423,0.545347199403355,152.58793266427801,0.544871623560368,0.771909036735082,-2.547330920979531e-07,-1.5704600705816751e-07,-5.317635221047112e-12
40,28,0.025,0.03571428571428571,0.8088290218644872,26.512998373808088,0.5411560504005811,152.61981415973025,0.5420369736510973,0.752146487258655,-2.1016412562261785e-07,2.963104314491268e-07,9.988260218918299e-13
40,27,0.025,0.037037037037037035,0.8039431756246582,26.39888741256487,0.5354268706621108,153.2265346408917,0.533096198518439,0.731798948096400,-1.3301260966307066e-07,-8.024889033383833e-07,-1.5052820101502107e-12
40,26,0.025,0.038461538461538464,0.7987828996077642,26.161485931910136,0.531162820186753,153.15187500660946,0.5311628207553094,0.710812126556975,1.0326189601525272e-12,1.1426268277230484e-13,-2.7161536908515416e-12
40,25,0.025,0.04,0.7933071275109972,25.982235231261726,0.5258527026214377,153.44532418950266,0.5252417271714642,0.689199876963923,-8.121801414205594e-08,-2.1935649292736058e-07,-2.716347979880851e-12
40,24,0.025,0.041666666666666664,0.7874994074567037,25.788691422227057,0.5204370341680579,153.7007974905794,0.5195739416897237,0.666926398029331,-2.3701427778631964e-07,-3.1718036506345117e-07,-6.230516103045147e-12
40,23,0.025,0.043478260869565216,0.7813350762932192,25.58216773615687,0.5148878855222605,153.92293465354578,0.5140922998446876,0.643968050696498,-5.247764522552002e-09,-2.994983568267389e-07,1.381744718642608e-11
40,22,0.025,0.045454545454545456,0.7747548378440652,25.38368223320638,0.5089018181853063,154.2406200901451,0.5074407425856191,0.620307227465974,-2.4452388117160826e-07,-5.643820920439075e-07,-6.253136897171885e-12
40,21,0.025,0.047619047619047616,0.7677427028678055,25.137090336912035,0.5032041596107779,154.30624947849367,0.5032041601256898,0.595911070009366,1.2370037787601436e-12,9.643471913947799e-14,2.4483012839304763e-11
40,20,0.025,0.05,0.760217056878862,24.913395286913712,0.496840025856897,154.5585237194618,0.4968222256970541,0.570772049633560,-8.693651972279945e-08,-7.25292607514584e-09,2.4204804827121507e-12
40,19,0.025,0.05263157894736842,0.7521454464969091,24.679959468749423,0.4901626687939348,154.81530417381663,0.4901626689526694,0.544867192383345,-2.1823567394408175e-13,-5.28933862279781e-14,-1.4893503097468397e-12
40,18,0.025,0.05555555555555555,0.7434468620069764,24.43904472061451,0.48313652533368634,155.0829991366012,0.4831365257193764,0.518181216840709,3.682383174427595e-13,4.061709747996016e-14,2.093304696249021e-11
40,17,0.025,0.058823529411764705,0.7340369190361046,24.19083572369982,0.4757351064281742,155.35744256418994,0.4757350540661632,0.490702574182071,-6.787999481950721e-08,-2.3556780356530143e-11,-9.774425713260371e-11
40,16,0.025,0.0625,0.7238297553876356,23.953275905971378,0.46763205296454463,155.79457038384083,0.46639527890603305,0.462428420954589,-1.6599387988876553e-07,-5.732707790300333e-07,-3.0531133177191805e-16
40,15,0.025,0.06666666666666667,0.7127140247172229,23.687160550002268,0.4593184069934015,156.10093241103112,0.45798612927270915,0.433354332785262,-2.5845784911041416e-08,-6.40998185518961e-07,-2.0349924523266338e-10
40,14,0.025,0.07142857142857142,0.7005391464905562,23.40134657640477,0.4506131778244457,156.33215819431004,0.4498618565889484,0.403491495359569,-1.172844529440528e-07,-3.761231154322991e-07,7.577431737626483e-12
40,13,0.025,0.07692307692307693,0.6871497708714818,23.1032955732113,0.4413259449262364,156.54966881878207,0.44132594544038295,0.372868773195747,2.0212640832991194e-13,9.5614869253545e-14,4.349375026801994e-12
